Fa1	300 685 073 001 005 000
Fa2	000 099 052 677 099 675 721 079 000 000
Fa3	000 306 040 390 300 079 670 007 700 001 060 008
Fa4	000 260 040 391 006 685 006 685 201 000
Fa5	008 003 000 003 001 006 099 000
Fa6	000
Fb1	000
Fb2	000 000 000 200 000 000
Fb3	000 000 200 096 280 549 093 078 000
Fb4	000 099 093 000 000 000
Jb1	522 088
Lb1	607 607 066 071 002 306 003 002 376 004 780 072 048 048 048 001 010 380 048 216 034 124 545 678 430 408 400 193 607 700 115 670 115 470 051 002 678 051 051 079 700 051 020 010 051 011 051 011 051 048 051
Ma1	000 700 700 700 200 070 001
Ma10	020 061 014 099
Ma2	000 670 026 006 691 006 022 006 022 006 022 084 000 002 005 000 004 522 700 600 059 000
Ma3	000 070 003 445 026 006 208 001 430 008 000 200 000 200 000
Ma4	000 091 005 047 004 064 005 001 006 059 002 059 000
Ma5	000 006 006 006 006 000
Ma6	066 074 700 063 063 066 074 711 711 711 007 007 600
Ma7	384 050 700 700 700
Oa10	306 700 091 301 451 005 040 007 010 048
Oa2	008 600
Oa3	061 009 006 608
Oa4	000 007 013 755 005 037 709 206 200 386 470 005 700 770 770 000 029 290 061 001 010 200 290 077 049 530 201 093 000
Oa5	008 004 064 029 061 200 004 040 633 600 466 064 000 027 002 002 029 029 000 450 062 000 755 396 086 200 008 008 206 044 739 044 022 037 022 421 000 420 040 002 600 050 081 106 093 200 606 700 600 001 000 200 073 092 755 092 200 430 430 700 006 200 600 200 755 062 008
Oa6	022 600 522 065 077 006 090 006 006 200 083 056 002 070 006 660 739 003 739 430 407 000 700 755 090 200 200 004 029 008 006 280 029 029 061 029 522 000 004 730 004 004 004
Oa7	040 040 200 200 008 067 200 739 093 739 670 046 430 070 006 028 085 085 004 000 600 400 004 064 700 006 206 108 004 064 736 000
Oa8	000 600 091 326 200 200 037 001 006 074 290 600 206 356 390 078 075 206 316 006 000 607 048 006 003 004 004 004 040 206 108 522 002 522 300 700 001 306 109 700 700 700 700
Oa9	290 006 074 006 090 006 006 009 006 600 730 041 349 040 022 048 022 008 006 008 006 200 077 002 600 214 040 391 200 391 006
Tb1	000 076 520 200
Tb10	000 000 000 382 480 004 076 073 006 074 048 076 070 053 322 076 000 011 070 076 000 126 076 305 000
Tb11	000 280 022 002 090 600 070 076 070 090 076 126 022 999 002 300 006 002 006 999 300
Tb2	000 160 385 076 006 600 011 076 053 050 059 000
Tb3	000 076 059 090 076 070 000 076 126 073 010 073 076 002 381 000
Tb4	000 001 002 430 076 530 020 023 076 530 079 023 076 070 000 200 000 011 023 076 000
Tb5	000 076 027 076 664 076 090 076 126 000 009 076 000
Tb6	000 700 600 076 533 325 053 076 010 020 730 700 076 470 002 535 076 430 700 022 076 126 070 200 000
Tb7	000 000 076 000 076 027 095 209 076 027 430 070 090 090 090 076 010 002 088 005 005 076 291 039 200 000
Tb8	000 000 000 530 722 420 076 010 044 076 055 076 069 049 076 405 300 076 430 005 077 430 076 055 385 076 386 670 076 320 076 000
Tb9	000 008 076 380 070 739 126 009 405 076 530 069 000 076 050 305 069 076 542 000 001 076 055 700 055 000
Ua2	011 010 600 000 001 000 000 631 001 010 600 093
Ua3	000 065 006 003 000 003 002 007 047 004 002 595 600 009 021 008 042 550 000
Ua4	000 007 000 006 450 030 700 006 044 040 600 028 600 600 386 009 000 000 015
Ua5	004 000 000 000 600 001 000 000
Ub8	006
Va1	051 200 200 011 002 048 010 048 010 048 010 102 700 700 145 591 591 200 748 057 057 057 070 063 063 450
Vb2	300 700
Wa2	090
Wa3	010
Wa4	200
Xa1	600 600
Xa2	381 090 070
Ya1	035 386 009 014 025 007 380 001
Ya2	040 040 040 040 001 340 446 024 027
Ya3	002 046 700 342 684 002 036
Ya4	380 001 200 070 017 517 001 014 600
Ya5	000 250 010 070 053 700 098 007
Ya6	041 380 001 029 700 700 700 700 008 020 001
Yb1	000 607 070 024 314 002 000
Yb2	001 006 700 041 090 070 001 001 010 009 038 001 000 008 010 020 001 000 380 001 046 070
Yb3	001 747 600 380 011 008 001 002 009 680 029 038 002 385 380
